iter	Passed	Remaining
1516	38473	12249
1517	38497	12223
1518	38523	12198
1519	38548	12173
1520	38573	12147
1521	38596	12121
1522	38619	12095
1523	38647	12071
1524	38673	12045
1525	38699	12020
1526	38721	11994
1527	38745	11968
1528	38769	11942
1529	38794	11917
1530	38824	11893
1531	38849	11867
1532	38877	11843
1533	38903	11817
1534	38927	11792
1535	38950	11766
1536	38974	11740
1537	38999	11715
1538	39022	11688
1539	39047	11663
1540	39071	11637
1541	39096	11612
1542	39118	11586
1543	39142	11560
1544	39166	11534
1545	39192	11509
1546	39215	11483
1547	39238	11457
1548	39264	11432
1549	39289	11406
1550	39317	11382
1551	39343	11356
1552	39367	11331
1553	39390	11305
1554	39414	11279
1555	39439	11254
1556	39469	11229
1557	39493	11204
1558	39516	11178
1559	39540	11152
1560	39566	11127
1561	39589	11101
1562	39619	11077
1563	39642	11051
1564	39665	11025
1565	39688	10999
1566	39714	10974
1567	39739	10948
1568	39763	10923
1569	39787	10897
1570	39811	10871
1571	39838	10846
1572	39861	10820
1573	39886	10795
1574	39909	10769
1575	39934	10743
1576	39968	10720
1577	39993	10695
1578	40016	10669
1579	40040	10643
1580	40065	10618
1581	40090	10592
1582	40112	10566
1583	40136	10540
1584	40163	10515
1585	40187	10490
1586	40218	10466
1587	40245	10441
1588	40268	10415
1589	40295	10390
1590	40322	10365
1591	40345	10339
1592	40370	10314
1593	40396	10289
1594	40420	10263
1595	40444	10237
1596	40471	10212
1597	40494	10186
1598	40517	10161
1599	40543	10135
1600	40571	10111
1601	40596	10085
1602	40623	10060
1603	40649	10035
1604	40677	10011
1605	40700	9985
1606	40723	9959
1607	40753	9934
1608	40785	9911
1609	40807	9885
1610	40831	9859
1611	40857	9834
1612	40882	9808
1613	40905	9782
1614	40934	9758
1615	40958	9732
1616	40985	9707
1617	41015	9683
1618	41046	9659
1619	41070	9633
1620	41092	9607
1621	41115	9581
1622	41138	9555
1623	41162	9530
1624	41188	9505
1625	41210	9479
1626	41234	9453
1627	41258	9427
1628	41281	9401
1629	41304	9375
1630	41331	9351
1631	41355	9325
1632	41379	9299
1633	41402	9273
1634	41425	9247
1635	41448	9222
1636	41471	9196
1637	41494	9170
1638	41518	9144
1639	41543	9119
1640	41567	9093
1641	41595	9068
1642	41619	9043
1643	41643	9017
1644	41672	8993
1645	41696	8967
1646	41723	8942
1647	41747	8916
1648	41770	8891
1649	41800	8866
1650	41827	8841
1651	41852	8816
1652	41877	8791
1653	41901	8765
1654	41926	8739
1655	41951	8714
1656	41975	8689
1657	42004	8664
1658	42028	8638
1659	42053	8613
1660	42077	8587
1661	42104	8562
